Fall,Major,Total,Male,Female
1990,CER ENGR,212,179,33
1990,CERAMICS,4,3,1
1990,Civil Engineering,749,647,102
1990,Computer Engineering,301,271,30
1990,Computer Science,388,319,69
1990,ENGR MECH,91,80,11
1990,ENGR PHYS,112,97,15
1990,ENV ENGR,57,45,12
1990,ENV SCI,11,8,3
1990,Electrical Engineering,1576,1404,172
1990,GEN ENGR,637,506,131
1990,Industrial Engineering,215,148,67
1990,METAL ENGR,163,139,24
1990,Mechanical Engineering,933,853,80
1990,Nuclear Engineering,165,143,22
1990,Theoretical & Applied Mechans,0,0,0
1991,Aero & Astro Engineering,442,397,45
1991,Agricultural Engineering,89,73,16
1991,CER ENGR,186,156,30
1991,CERAMICS,9,5,4
1991,Civil Engineering,819,684,135
1991,Computer Engineering,302,278,24
1991,Computer Science,385,327,58
1991,ENGR MECH,76,67,9
1991,ENGR PHYS,111,94,17
1991,ENV ENGR,65,53,12
1991,ENV SCI,13,9,4
1991,Electrical Engineering,1516,1353,163
1991,GEN ENGR,644,501,143
1991,Industrial Engineering,169,116,53
1991,METAL ENGR,170,145,25
1991,Mechanical Engineering,1003,919,84
1991,Nuclear Engineering,185,159,26
1991,TCH CS,1,0,1
1991,Theoretical & Applied Mechans,0,0,0
1992,Aero & Astro Engineering,392,347,45
1992,Agricultural Engineering,87,70,17
1992,CER ENGR,190,161,29
1992,CERAMICS,13,9,4
1992,Civil Engineering,934,782,152
1992,Computer Engineering,326,298,28
1992,Computer Science,390,339,51
1992,ENGR MECH,74,65,9
1992,ENGR PHYS,76,60,16
1992,ENV ENGR,81,65,16
1992,ENV SCI,15,8,7
1992,Electrical Engineering,1524,1356,168
1992,GEN ENGR,614,472,142
1992,Industrial Engineering,153,112,41
1992,METAL ENGR,169,144,25
1992,Mechanical Engineering,989,901,88
1992,Nuclear Engineering,167,147,20
1992,TCH CS,2,1,1
1992,Theoretical & Applied Mechans,0,0,0
1993,Aero & Astro Engineering,366,322,44
1993,Agricultural Engineering,89,66,23
1993,CER ENGR,183,157,26
1993,CERAMICS,12,10,2
1993,Civil Engineering,1121,929,192
1993,Computer Engineering,383,349,34
1993,Computer Science,462,395,67
1993,ENGR MECH,62,53,9
1993,ENGR PHYS,71,53,18
1993,ENV ENGR,80,66,14
1993,ENV SCI,12,8,4
1993,Electrical Engineering,1509,1346,163
1993,GEN ENGR,575,447,128
1993,Industrial Engineering,153,102,51
1993,METAL ENGR,163,132,31
1993,Mechanical Engineering,1005,908,97
1993,Nuclear Engineering,152,128,24
1993,TCH CS,2,2,0
1993,Theoretical & Applied Mechans,0,0,0
1994,Aero & Astro Engineering,320,280,40
1994,Agricultural Engineering,93,68,25
1994,CER ENGR,136,117,19
1994,CERAMIC ENG,7,7,0
1994,CERAMICS,4,4,0
1994,Civil Engineering,1140,939,201
1994,Computer Engineering,430,393,37
1994,Computer Science,540,477,63
1994,ENGR MECH,56,47,9
1994,ENGR PHYS,71,55,16
1994,ENV ENGR,66,54,12
1994,ENV SCI,12,10,2
1994,Electrical Engineering,1533,1364,169
1994,GEN ENGR,594,462,132
1994,Industrial Engineering,155,109,46
1994,METAL ENGR,77,67,10
1994,Materials Science & Engr,121,96,25
1994,Mechanical Engineering,1036,925,111
1994,Nuclear Engineering,125,105,20
1994,TCH CS,2,2,0
1994,Theoretical & Applied Mechans,0,0,0
1995,Aero & Astro Engineering,286,252,34
1995,Agricultural Engineering,106,80,26
1995,CER ENGR,90,74,16
1995,CERAMIC ENG,2,2,0
1995,CERAMICS,2,1,1
1995,Civil Engineering,1068,861,207
1995,Computer Engineering,536,500,36
1995,Computer Science,603,540,63
1995,ENGR MECH,38,30,8
1995,ENGR PHYS,71,56,15
1995,ENV ENGR,72,55,17
1995,ENV SCI,10,6,4
1995,Electrical Engineering,1512,1326,186
1995,GEN ENGR,557,433,124
1995,Industrial Engineering,151,112,39
1995,MATSCI&ENG,72,66,6
1995,METAL ENGR,52,45,7
1995,Materials Science & Engr,130,102,28
1995,Mechanical Engineering,1030,904,126
1995,Nuclear Engineering,107,91,16
1995,TCH CS,2,1,1
1995,Theoretical & Applied Mechans,0,0,0
1996,Aero & Astro Engineering,258,212,46
1996,Agricultural Engineering,116,94,22
1996,CER ENGR,47,37,10
1996,CERAMIC ENG,1,1,0
1996,CERAMICS,2,1,1
1996,Civil Engineering,973,772,201
1996,Computer Engineering,574,537,37
1996,Computer Science,632,553,79
1996,ENGR MECH,37,29,8
1996,ENGR PHYS,71,56,15
1996,ENV ENGR,60,48,12
1996,ENV SCI,16,7,9
1996,Electrical Engineering,1469,1274,195
1996,GEN ENGR,512,385,127
1996,Industrial Engineering,156,102,54
1996,MATSCI&ENG,123,102,21
1996,METAL ENGR,36,32,4
1996,Materials Science & Engr,111,90,21
1996,Mechanical Engineering,1029,894,135
1996,Nuclear Engineering,105,88,17
1996,TCH CS,1,0,1
1996,Theoretical & Applied Mechans,0,0,0
1997,Aero & Astro Engineering,279,225,54
1997,Agricultural Engineering,132,104,28
1997,CER ENGR,27,22,5
1997,Civil Engineering,918,710,208
1997,Computer Engineering,591,545,46
1997,Computer Science,685,608,77
1997,ENGR MECH,35,33,2
1997,ENGR PHYS,66,55,11
1997,ENV ENGR,70,51,19
1997,ENV SCI,14,8,6
1997,Electrical Engineering,1419,1242,177
1997,GEN ENGR,450,318,132
1997,Industrial Engineering,170,114,56
1997,MATSCI&ENG,148,119,29
1997,METAL ENGR,22,21,1
1997,Materials Science & Engr,113,86,27
1997,Mechanical Engineering,985,843,142
1997,Nuclear Engineering,91,77,14
1997,Theoretical & Applied Mechans,0,0,0
1998,Aero & Astro Engineering,299,238,61
1998,Agricultural Engineering,119,93,26
1998,CER ENGR,9,9,0
1998,Civil Engineering,845,658,187
1998,Computer Engineering,682,618,64
1998,Computer Science,711,630,81
1998,ENGR MECH,30,27,3
1998,ENGR PHYS,52,47,5
1998,ENV ENGR,65,38,27
1998,ENV SCI,17,10,7
1998,Electrical Engineering,1355,1198,157
1998,GEN ENGR,432,302,130
1998,Industrial Engineering,158,110,48
1998,MATSCI&ENG,169,137,32
1998,METAL ENGR,11,10,1
1998,Materials Science & Engr,107,77,30
1998,Mechanical Engineering,988,859,129
1998,Nuclear Engineering,85,71,14
1998,Theoretical & Applied Mechans,0,0,0
1999,Aero & Astro Engineering,343,269,74
1999,Agricultural Engineering,114,84,30
1999,CER ENGR,2,2,0
1999,Civil Engineering,791,616,175
1999,Computer Engineering,783,704,79
1999,Computer Science,777,685,92
1999,ENGR MECH,20,16,4
1999,ENGR NONDEGREE,4,2,2
1999,ENGR PHYS,63,53,10
1999,ENV ENGR,64,42,22
1999,ENV SCI,12,6,6
1999,Electrical Engineering,1282,1125,157
1999,GEN ENGR,429,302,127
1999,Industrial Engineering,148,107,41
1999,MATSCI&ENG,193,153,40
1999,METAL ENGR,2,1,1
1999,Materials Science & Engr,105,76,29
1999,Mechanical Engineering,929,813,116
1999,Nuclear Engineering,84,71,13
1999,Theoretical & Applied Mechans,0,0,0
2000,Aero & Astro Engineering,378,307,71
2000,Agricultural Engineering,122,89,33
2000,CER ENGR,2,2,0
2000,Civil Engineering,781,623,158
2000,Computer Engineering,806,730,76
2000,Computer Science,779,690,89
2000,ENGR MECH,17,16,1
2000,ENGR NONDEGREE,58,51,7
2000,ENGR PHYS,65,50,15
2000,ENV ENGR,79,45,34
2000,ENV SCI,9,5,4
2000,Electrical Engineering,1219,1046,173
2000,GEN ENGR,479,345,134
2000,Industrial Engineering,125,88,37
2000,MATSCI&ENG,166,126,40
2000,METAL ENGR,1,1,0
2000,Materials Science & Engr,115,84,31
2000,Mechanical Engineering,891,791,100
2000,Nuclear Engineering,87,73,14
2000,Theoretical & Applied Mechans,0,0,0
2001,Aero & Astro Engineering,412,344,68
2001,Agricultural Engineering,110,89,21
2001,Civil Engineering,776,607,169
2001,Computer Engineering,847,768,79
2001,Computer Science,884,789,95
2001,ENGR MECH,29,21,8
2001,ENGR NONDEGREE,70,60,10
2001,ENGR PHYS,94,79,15
2001,ENV ENGR,79,46,33
2001,ENV SCI,11,7,4
2001,Electrical Engineering,1205,1017,188
2001,GEN ENGR,507,389,118
2001,Industrial Engineering,115,78,37
2001,MATSCI&ENG,173,137,36
2001,Materials Science & Engr,135,100,35
2001,Mechanical Engineering,918,832,86
2001,Nuclear Engineering,82,71,11
2001,Theoretical & Applied Mechans,0,0,0
2002,Aero & Astro Engineering,428,349,79
2002,Agricultural Engineering,95,74,21
2002,Civil Engineering,793,626,167
2002,Computer Engineering,825,738,87
2002,Computer Science,874,783,91
2002,ENGR MECH,54,40,14
2002,ENGR NONDEGREE,57,48,9
2002,ENGR PHYS,90,76,14
2002,ENV ENGR,60,36,24
2002,ENV SCI,10,7,3
2002,Electrical Engineering,1298,1088,210
2002,GEN ENGR,538,414,124
2002,Industrial Engineering,108,76,32
2002,MATSCI&ENG,191,141,50
2002,MCS INTERNET,1,1,0
2002,Materials Science & Engr,142,106,36
2002,Mechanical Engineering,888,802,86
2002,Nuclear Engineering,97,77,20
2002,Theoretical & Applied Mechans,0,0,0
2003,Aero & Astro Engineering,417,343,74
2003,Agricultural Engineering,95,79,16
2003,Civil Engineering,795,626,169
2003,Computer Engineering,756,683,73
2003,Computer Science,780,696,84
2003,ENGR MECH,65,55,10
2003,ENGR NONDEGREE,78,65,13
2003,ENGR PHYS,91,79,12
2003,ENV ENGR,70,41,29
2003,ENV SCI,10,6,4
2003,Electrical Engineering,1423,1203,220
2003,GEN ENGR,601,468,133
2003,Industrial Engineering,91,62,29
2003,MATSCI&ENG,215,159,56
2003,Materials Science & Engr,158,108,50
2003,Mechanical Engineering,954,845,109
2003,Nuclear Engineering,126,103,23
2003,Systems & Entrepreneurial Engr,12,10,2
2003,Theoretical & Applied Mechans,0,0,0
2004,Aero & Astro Engineering,433,359,73
2004,Agricultural Engineering,94,77,17
2004,Bioengineering,24,18,6
2004,Civil Engineering,757,599,158
2004,Computer Engineering,636,588,48
2004,Computer Science,1192,1053,137
2004,Electrical Engineering,1444,1243,201
2004,Engineering Mechanics,72,58,14
2004,Engineering Physics,102,85,17
2004,Environ Engr in Civil Engr,74,44,30
2004,Environ Science in Civil Engr,14,8,6
2004,General Engineering,608,487,121
2004,Industrial Engineering,92,59,33
2004,Materials Science & Engr,408,300,108
2004,Mechanical Engineering,1014,899,115
2004,Nondegree,78,62,16
2004,Nuclear Engineering,155,128,27
2004,Physics,299,259,40
2004,Systems & Entrepreneurial Engr,23,20,3
2004,Theoretical & Applied Mechans,0,0,0
2005,Aero & Astro Engineering,48,42,6
2005,Aerospace Engineering,381,326,55
2005,Agricultural Engineering,93,77,16
2005,Bioengineering,60,40,20
2005,Civil Engineering,795,641,154
2005,Computer Engineering,563,520,42
2005,Computer Science,1064,943,119
2005,Electrical Engineering,1406,1223,183
2005,Engineering Mechanics,78,63,15
2005,Engineering Physics,101,87,14
2005,Environ Engr in Civil Engr,61,33,28
2005,Environ Science in Civil Engr,14,9,5
2005,General Engineering,624,509,115
2005,Industrial Engineering,81,54,27
2005,Materials Science & Engr,383,288,95
2005,Mechanical Engineering,1055,931,121
2005,Nondegree,83,65,18
2005,Nuclear Engineering,159,136,23
2005,Physics,296,258,38
2005,Systems & Entrepreneurial Engr,27,24,3
2005,Theoretical & Applied Mechans,0,0,0
2006,Aero & Astro Engineering,24,21,3
2006,Aerospace Engineering,426,372,54
2006,Agricultural Engineering,88,72,16
2006,Bioengineering,101,60,41
2006,Bioinformatics,4,2,2
2006,Civil Engineering,793,638,155
2006,Computer Engineering,477,439,36
2006,Computer Science,987,867,118
2006,Electrical & Computer Engr,163,135,28
2006,Electrical Engineering,1195,1045,150
2006,Engineering Mechanics,62,47,15
2006,Engineering Physics,124,110,14
2006,Environ Engr in Civil Engr,58,34,24
2006,Environ Science in Civil Engr,16,10,6
2006,General Engineering,580,469,111
2006,Industrial Engineering,81,58,23
2006,Materials Science & Engr,403,300,103
2006,Mechanical Engineering,1079,952,125
